"Artist and Title","Days","Pk","(x?)","Total","Today"
"The Weeknd - Blinding Lights","2218","1","(x129)","18,970,731","3,425"
"Ed Sheeran - Shape of You","2499","2","(x3)","13,029,970","5,059"
"Tones and I - Dance Monkey","1056","1","(x126)","11,213,580","0"
"Tom Odell - Another Love","1752","2","(x1)","10,015,349","1,779"
"Lewis Capaldi - Someone You Loved","1722","5","","9,568,118","771"
"Billie Eilish - bad guy","881","1","(x58)","9,403,323","582"
"Harry Styles - As It Was","891","1","(x142)","9,256,770","754"
"Ed Sheeran - Perfect","1713","3","(x28)","9,112,064","2,921"
"Benson Boone - Beautiful Things","831","1","(x83)","8,962,372","4,694"
"Lady Gaga & Bradley Cooper - Shallow","1104","1","(x13)","7,902,694","0"
"Dua Lipa - New Rules","1219","3","(x12)","7,851,399","2,452"
"Ed Sheeran - Bad Habits","794","1","(x20)","7,747,206","0"
"Elton John & Dua Lipa - Cold Heart","761","1","(x50)","7,705,998","0"
"Billie Eilish - BIRDS OF A FEATHER","706","1","(x47)","7,539,665","1,785"
"Miley Cyrus - Flowers","662","1","(x181)","7,502,596","134"
"Lady Gaga & Bruno Mars - Die With A Smile","621","1","(x61)","7,370,722","2,671"
"Ed Sheeran - Shivers","902","1","(x25)","7,347,828","1,437"
"Glass Animals - Heat Waves","931","2","(x4)","7,318,715","0"
"The Kid LAROI & Justin Bieber - Stay","646","1","(x67)","7,073,819","253"
"Harry Styles - Watermelon Sugar","1133","3","(x9)","7,031,181","1,020"
"Calvin Harris, Dua Lipa - One Kiss","646","1","(x87)","7,007,370","2,210"
"Alex Warren - Ordinary","449","1","(x138)","6,989,653","12,740"
"Teddy Swims - Lose Control","901","3","(x20)","6,967,108","1,795"
"Dua Lipa - Don't Start Now","698","2","(x17)","6,847,521","0"
"Mariah Carey - All I Want For Christmas Is You","507","1","(x122)","6,839,432","0"
"Sabrina Carpenter - Espresso","720","1","(x72)","6,718,121","3,157"
"Post Malone - rockstar","599","1","(x64)","6,705,398","0"
"David Guetta & Bebe Rexha - I'm Good","867","1","(x31)","6,413,957","1,042"
"Lost Frequencies & Calum Scott - Where Are You Now","747","2","(x13)","6,295,261","0"
"ROSÉ & Bruno Mars - APT.","557","1","(x52)","6,273,086","2,205"
"Camila Cabello - Havana","473","1","(x76)","6,138,933","0"
"SAINt JHN - Roses","663","2","(x18)","6,087,149","0"
"Coldplay - Viva La Vida","1283","12","","5,999,783","2,415"
"Imagine Dragons - Believer","791","9","","5,781,016","188"
"Taylor Swift - Cruel Summer","682","4","","5,456,099","549"
"Shawn Mendes & Camila Cabello - Señorita","457","1","(x95)","5,448,943","0"
"Cardi B, Bad Bunny & J Balvin - I Like It","503","2","(x12)","5,448,126","0"
"Taylor Swift - Anti-Hero","728","1","(x5)","5,436,324","0"
"Wham! - Last Christmas","461","1","(x12)","5,431,247","0"
"Tate McRae - greedy","754","1","(x58)","5,368,787","1,793"
"Billie Eilish - WILDFLOWER","711","5","","5,269,978","1,859"
"Shaboozey - A Bar Song","709","7","","5,257,921","2,437"
"Regard - Ride It","717","4","","5,185,963","0"
"OneRepublic - I Ain't Worried","643","2","(x4)","5,103,494","0"
"Joel Corry - Head & Heart","617","2","(x12)","5,067,503","0"
"Gracie Abrams - That’s So True","558","4","","5,059,917","2,899"
"Drake - God's Plan","408","1","(x53)","4,928,642","234"
"Tiësto - The Business","607","1","(x5)","4,903,196","0"
"Imagine Dragons - Thunder","463","7","","4,899,636","24"
"MiyaGi & Эндшпиль - I Got Love","1616","87","","4,842,046","1,851"
"French Montana - Unforgettable","456","6","","4,795,458","8"
"Dynoro & Gigi d'Agostino - In My Mind","454","1","(x46)","4,747,461","0"
"Eminem - Mockingbird","891","6","","4,608,275","647"
"Bad Bunny - DtMF","480","1","(x28)","4,569,936","10,687"
"Billie Eilish - everything i wanted","547","2","(x18)","4,444,300","363"
"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast - Golden","275","1","(x40)","4,421,116","10,564"
"Lil Nas X - Old Town Road","344","2","(x30)","4,416,553","0"
"Ed Sheeran & Justin Bieber - I Don't Care","419","1","(x29)","4,389,618","0"
"Ava Max - Sweet but Psycho","414","1","(x8)","4,366,909","0"
"Lola Young - Messy","453","3","(x11)","4,276,887","591"
"Hozier - Too Sweet","530","4","","4,270,411","276"
"Farruko - Pepas","469","8","","4,112,983","0"
"floyymenor & Cris Mj - Gata Only","486","1","(x12)","4,101,703","120"
"Kendrick Lamar - Not Like Us","513","1","(x18)","4,081,869","146"
"Luis Fonsi - Despacito","405","1","(x51)","4,080,041","0"
"Olivia Rodrigo - good 4 u","398","1","(x32)","4,030,307","0"
"DaBaby - ROCKSTAR","377","1","(x41)","4,003,991","0"
"Adele - Easy On Me","376","1","(x57)","3,960,207","0"
"Ninho - La vie qu'on mène","1223","43","","3,956,286","397"
"Taylor Swift - The Fate of Ophelia","207","1","(x111)","3,954,149","13,837"
"Michael Bublé - It's Beginning To Look a Lot Like Christmas","390","3","(x40)","3,950,892","0"
"Lil Nas X - MONTERO","335","1","(x50)","3,893,004","0"
"Travis Scott - SICKO MODE","572","3","(x1)","3,877,183","0"
"Sam Smith & Kim Petras - Unholy","316","1","(x56)","3,862,648","0"
"24kGoldn - Mood","380","1","(x26)","3,829,741","0"
