"Pos","Artist and Title","Popularity"
"1","Lady Gaga & Bradley Cooper - Shallow","1.00000"
"2","Ed Sheeran - Shape of You","0.98697"
"3","Pharrell Williams - Happy (From ""Despicable Me 2"")","0.91193"
"4","Luis Fonsi - Despacito (feat. Daddy Yankee)","0.82817"
"5","Sia - Chandelier","0.68718"
"6","Mark Ronson - Uptown Funk (feat. Bruno Mars)","0.58627"
"7","Adele - Hello","0.56965"
"8","Maître Gims - La même (en duo avec Vianney)","0.53613"
"9","The Weeknd - I Feel It Coming (feat. Daft Punk)","0.52686"
"10","Trois Cafés Gourmands - À nos souvenirs","0.52618"
"11","Imany - Don't Be so Shy (Filatov & Karas Remix)","0.51442"
"12","Lilly Wood and The Prick - Prayer in C (Robin Schulz Re...","0.50894"
"13","Omi - Cheerleader (Felix Jaehn Remix Radio Edit)","0.50697"
"14","Rag'n'Bone Man - Human","0.49928"
"15","Naestro - Bella ciao (feat. Maître Gims, Vitaa, Dadju & Slimane)","0.46635"
"16","Stromae - Formidable","0.46509"
"17","Justin Timberlake - CAN'T STOP THE FEELING! (Original Song From DreamWorks Animation's ""Trolls"")","0.46395"
"18","Ed Sheeran - Perfect","0.46259"
"19","Major Lazer - Lean On (feat. MØ & DJ Snake)","0.45899"
"20","Ofenbach & Nick Waterhouse - Katchi (Ofenbach vs. Nick Waterhouse)","0.45287"
"21","Kungs & Cookin' On 3 Burners - This Girl (Kungs vs. Cookin' On 3 Burners) - Single","0.41772"
"22","Céline Dion - Encore un soir","0.41681"
"23","Lady Gaga - Always Remember Us This Way","0.41513"
"24","Milky Chance - Stolen Dance","0.40222"
"25","Avicii - Wake Me Up","0.40154"
"26","Stromae - Papaoutai","0.39836"
"27","Calvin Harris - Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","0.39653"
"28","Indila - Dernière danse","0.38986"
"29","LP - Lost on You","0.38823"
"30","Marina Kaye - Homeless","0.38642"
"31","Feder - Goodbye (feat. Lyse) [Radio Edit]","0.38380"
"32","Black M - Sur ma route","0.38130"
"33","Angèle - Tout oublier (feat. Roméo Elvis)","0.37458"
"34","Calvin Harris, Sam Smith - Promises","0.37131"
