"Video","Views","Yesterday"
"Luis Fonsi - Despacito ft. Daddy Yankee","9,003,631,759","1,268,451"
"Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack","6,978,204,080","817,987"
"Ed Sheeran - Shape of You (Official Music Video)","6,711,734,856","881,909"
"PSY - GANGNAM STYLE(강남스타일) M/V","5,923,537,548","1,078,944"
"Crazy Frog - Axel F (Official Video)","5,886,601,881","2,198,227"
"Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars","5,803,403,590","862,287"
"El Chombo, Dancing Green Alien - Dame Tu Cosita feat. Cutty Ranks (Official Video)","5,455,721,811","1,514,226"
"श्री हनुमान चालीसा 🌺🙏| Shree Hanuman Chalisa Original Video |🙏🌺| GULSHAN KUMAR | HARIHARAN | 8K","5,372,128,960","2,782,813"
"Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song)","4,510,290,425","903,864"
"OneRepublic - Counting Stars","4,407,872,391","826,802"
"Maroon 5 - Sugar (Official Music Video)","4,372,084,898","447,341"
"Katy Perry - Roar","4,305,309,800","483,914"
"Katy Perry - Dark Horse ft. Juicy J","4,161,000,751","603,757"
"Ed Sheeran - Perfect (Official Music Video)","4,148,057,349","662,094"
"Justin Bieber - Sorry (PURPOSE : The Movement)","4,099,873,715","626,757"
"Passenger | Let Her Go (Official Video)","4,051,169,300","727,217"
"Maroon 5 - Girls Like You ft. Cardi B (Official Music Video)","4,006,806,877","632,272"
"Ed Sheeran - Thinking Out Loud (Official Music Video)","4,000,197,165","388,708"
"Alan Walker - Faded","3,961,726,024","624,375"
"Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video]","3,906,740,666","504,624"
"Gummibär - The Gummy Bear Song - Long English Version (Official Video)","3,898,636,329","971,014"
"Enrique Iglesias - Bailando ft. Descemer Bueno, Gente De Zona","3,822,778,326","515,537"
"Taylor Swift - Blank Space","3,791,160,936","607,382"
"Taylor Swift - Shake It Off","3,673,892,120","346,934"
"Idina Menzel - Let It Go (From Frozen/Sing-Along)","3,655,618,238","689,267"
"J Balvin, Willy William - Mi Gente (Official Video)","3,641,615,703","507,068"
"Justin Bieber - Baby ft. Ludacris","3,615,978,665","1,771,920"
"Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]","3,516,215,201","811,544"
