"Artist and Title","Wks","T10","Pk","(x?)","PkStreams","Total"
"Ninho - La vie qu'on mène","370","6","3","(x2)","4,129,900","275,386,924"
"Damso - Θ. Macarena","369","19","1","(x11)","1,460,822","183,196,719"
"Jungeli - Petit génie","114","47","1","(x21)","3,541,407","178,671,494"
"The Weeknd - Blinding Lights","270","26","1","(x2)","2,111,806","175,075,695"
"Naps - La kiffance","174","36","1","(x8)","3,638,988","173,035,426"
"SDM - Bolide allemand","168","37","1","(x6)","2,335,453","170,711,053"
"GIMS - SPIDER","103","41","1","(x3)","4,063,080","170,538,452"
"Ninho - Lettre à une femme","286","14","1","(x6)","5,884,933","165,650,941"
"GIMS - SOIS PAS TIMIDE","93","38","1","(x8)","4,211,178","161,820,690"
"13 Organisé - Bande organisée","204","21","1","(x11)","4,694,448","154,866,178"
"Ninho - Putana","271","4","4","","3,695,340","152,408,425"
"Werenoi - Laboratoire","164","9","9","","1,967,315","150,437,441"
"Tom Odell - Another Love","295","","17","","1,026,092","147,687,736"
"Tiakola - Meuda","163","29","2","(x5)","2,034,751","142,962,766"
"Benson Boone - Beautiful Things","119","17","1","(x5)","3,089,195","130,167,356"
"SDM - CARTIER SANTOS","83","21","1","(x5)","4,838,383","128,388,210"
"Macklemore & Ryan Lewis - Can't Hold Us","218","","30","","948,457","126,207,849"
"Lomepal - Trop beau","259","11","1","(x1)","1,560,095","126,098,736"
"Werenoi - Chemin d'or","162","1","7","","2,221,109","125,924,897"
"Booba - Dolce Camara","116","1","2","(x1)","2,902,550","123,618,289"
"Favé - FLASHBACK","101","20","2","(x8)","2,778,529","120,496,353"
"disiz - melodrama","31","30","1","(x24)","6,081,863","119,567,706"
"GIMS - CIEL","79","20","1","(x7)","4,333,792","118,029,185"
"Gazo - DIE","93","27","1","(x13)","3,883,997","117,490,974"
"Werenoi - Tu connais","134","4","7","","1,920,423","116,802,252"
"OBOY - Cabeza","182","7","5","","1,648,154","114,709,027"
"OBOY - TDB","147","22","1","(x10)","3,073,592","113,780,693"
"Soolking - Casanova","85","30","1","(x3)","2,764,718","113,531,386"
"Carbonne - Imagine","67","25","1","(x10)","5,597,187","111,691,952"
"Ninho - Jefe","116","25","1","(x13)","5,979,789","111,134,407"
"Heuss L'enfoiré - Saiyan","95","26","1","(x6)","2,926,138","110,360,908"
"Werenoi - Solitaire","154","","14","","1,256,275","109,898,546"
"Tones And I - Dance Monkey","140","22","2","(x5)","2,463,193","109,036,341"
"PLK - Nouvelles","147","8","3","(x1)","1,644,672","108,262,769"
"Harry Styles - As It Was","124","20","1","(x2)","2,028,339","105,533,923"
"Teddy Swims - Lose Control","119","12","5","","2,134,556","103,137,347"
"OBOY - Avec Toi","196","","36","","768,336","102,169,849"
"PNL - Au DD","160","11","1","(x8)","9,753,368","101,854,799"
"GIMS - PARISIENNE","39","27","1","(x7)","4,934,014","100,173,975"
"Favé - Urus","123","8","3","(x1)","1,680,873","100,067,288"
"Dinos - Placebo","171","","43","","962,712","99,352,128"
"Ninho - Maman ne le sait pas","162","12","2","(x3)","5,288,961","98,447,738"
"Alonzo - TOUT VA BIEN","80","28","1","(x5)","5,072,848","97,533,703"
"Miley Cyrus - Flowers","94","24","1","(x6)","3,538,517","96,871,982"
"Damso - Δ. Dieu ne ment jamais","174","1","8","","1,031,942","94,028,628"
"PLK - Émotif (Booska 1H)","179","","38","","751,036","92,436,656"
"GIMS - NINAO","62","23","1","(x7)","3,856,631","92,392,122"
"KeBlack - Aucune attache","81","11","5","","2,452,950","91,877,780"
"Soolking - Balader","106","25","2","(x6)","2,096,398","90,888,493"
"Gradur - Ne reviens pas","88","20","1","(x9)","5,511,081","90,036,935"
"FloyyMenor - Gata Only","70","20","2","(x1)","3,002,068","89,734,655"
"Nono La Grinta - Paris","56","14","1","(x1)","4,009,753","89,022,292"
"David Guetta - I'm Good (Blue)","119","15","3","(x1)","1,658,747","88,585,993"
"R2 - RUINART","46","23","1","(x2)","3,037,062","87,961,385"
"Gazo - MAMI WATA","91","15","3","(x3)","2,630,799","87,665,568"
"VEN1 - Hakayet","90","8","4","","2,359,819","87,129,064"
"Gambi - PETETE","112","14","1","(x1)","3,469,699","86,875,619"
"Hamza - KYKY2BONDY","52","16","1","(x6)","5,794,923","86,533,571"
"Íñigo Quintero - Si No Estás","58","26","1","(x1)","3,354,092","86,483,618"
"KeBlack - LAISSE MOI","74","21","2","(x1)","2,612,523","86,286,657"
"SDM - Mr. Ocho","126","8","6","","1,730,483","86,142,876"
"Werenoi - Pétunias","82","2","6","","2,418,457","85,112,856"
"SDM - POUR ELLE","76","10","1","(x2)","4,445,896","84,772,688"
"Bouss - Ca parle mal","76","18","3","(x4)","3,000,488","84,404,549"
"RnBoi - MON BÉBÉ","27","26","2","(x16)","4,626,755","84,061,161"
"PNL - La misère est si belle","177","","14","","2,627,267","83,662,665"
"Lady Gaga - Die With A Smile","81","12","5","","2,039,451","83,177,316"
"KeBlack - Melrose Place","56","22","2","(x3)","3,036,900","83,020,565"
"Werenoi - Pyramide","113","6","1","(x2)","3,884,660","82,168,952"
"Gazo - NANANI NANANA","53","14","1","(x7)","6,712,735","81,708,890"
"Zola - AMBER","77","23","1","(x9)","2,522,084","80,710,797"
"Jul - La bandite","148","","11","","1,476,271","80,536,388"
"Billie Eilish - BIRDS OF A FEATHER","91","","13","","1,520,913","80,312,452"
"Ninho - Goutte d'eau","144","7","4","","3,821,419","80,288,249"
"Naps - Best life","102","17","3","(x3)","1,726,054","79,515,177"
"Dadju - I love you","73","14","2","(x1)","2,596,816","79,461,512"
"KeBlack - Boucan","71","13","2","(x1)","2,934,130","79,080,286"
"OneRepublic - I Ain't Worried","110","12","6","","1,514,634","78,667,752"
"Ninho - Zipette","147","4","4","","2,242,572","78,230,956"
"Gazo - FLEURS","93","1","10","","1,532,982","78,107,869"
"PNL - Onizuka","206","7","1","(x3)","777,076","77,466,901"
"Jul - Sous la lune","86","3","3","(x1)","2,752,066","77,016,252"
"L2B - Pélican","63","12","2","(x1)","2,772,066","76,979,006"
"ZEG P - FADE UP","68","22","1","(x4)","3,505,780","76,525,742"
"Ninho - VVS","82","21","2","(x9)","4,294,602","76,393,689"
"Tiakola - MANON B","71","9","2","(x2)","3,253,038","75,365,066"
"Jul - J'oublie tout","149","","28","","1,218,597","75,124,083"
"ROSÉ - APT.","68","14","2","(x1)","2,244,792","74,279,248"
"Bleu Soleil - Soleil Bleu","46","21","2","(x4)","3,115,787","74,274,116"
"KeBlack - Mood","51","22","3","(x6)","2,907,195","74,101,456"
"Louise Attaque - J't'emmène au vent","172","","49","","765,050","73,999,289"
"Franglish - Position","59","11","1","(x2)","3,129,663","73,352,961"
"Dadju - Reine","177","11","2","(x1)","1,116,064","73,173,448"
"Damso - Alpha","64","13","1","(x1)","3,549,371","72,540,676"
"Hatik - Angela","76","19","1","(x2)","2,610,504","72,509,457"
"Soso Maness - Petrouchka","66","17","1","(x7)","5,924,978","72,447,396"
"Heuss L'enfoiré - Moulaga","112","12","2","(x5)","3,525,919","72,428,107"
"PNL - Deux frères","141","6","2","(x2)","4,110,300","71,993,037"
"Gazo - HAINE&SEX","113","12","1","(x1)","2,502,317","71,762,251"
"Charlotte Cardin - Feel Good","68","7","6","","1,909,443","71,375,862"
"Timal - Filtré","83","19","2","(x5)","1,838,865","71,230,447"
"Guy2Bezbar - Monaco","61","12","3","(x1)","2,656,819","71,015,795"
"Naps - 6.3","109","15","1","(x2)","3,167,571","70,680,556"
"Nono La Grinta - LOVE YOU","29","25","3","(x9)","3,728,987","70,106,416"
"Dr. Yaro - Minimum ça","60","11","5","","2,169,951","69,813,830"
"Sabrina Carpenter - Espresso","73","5","7","","2,132,024","69,526,672"
"Dua Lipa - Fever","98","19","1","(x1)","2,158,697","69,468,920"
"Rim'K - Air Max","116","17","1","(x3)","1,935,120","69,226,251"
"Damso - Feu de bois","153","9","2","(x1)","2,677,602","68,866,651"
"Alex Warren - Ordinary","59","1","10","","1,673,754","68,854,088"
"Ed Sheeran - Shape of You","121","34","1","(x16)","1,772,495","68,495,730"
"Bad Bunny - DtMF","67","8","2","(x1)","2,881,021","68,112,437"
"Soolking - Suavemente","82","21","2","(x2)","1,886,952","67,645,789"
"Damso - Ε. Signaler","162","7","5","","1,098,398","67,473,734"
"GAULOIS - Jolie","56","24","1","(x1)","3,121,315","67,282,442"
"Lewis Capaldi - Someone You Loved","157","","28","","734,968","67,126,867"
"Gambi - Popopop","56","15","1","(x7)","6,150,947","66,687,027"
"Rema - Calm Down","82","12","2","(x1)","2,144,859","66,581,675"
"Josman - Intro","118","","23","","967,385","66,551,295"
"Tiakola - Gasolina","82","5","6","","1,638,269","66,455,864"
"Therapie TAXI - Eté 90","134","","14","","1,051,398","66,257,646"
"Theodora - KONGOLESE SOUS BBL","78","1","10","","2,102,818","65,814,625"
"Djadja & Dinaz - J'fais mes affaires","179","","18","","698,431","65,473,209"
"Farruko - Pepas","86","12","2","(x1)","1,839,896","65,216,300"
"Dadju - Grand bain","75","18","2","(x6)","2,753,818","64,984,993"
"DJ Kawest - Chambre 04","56","10","3","(x1)","2,897,167","64,650,953"
"Koba LaD - Daddy chocolat","73","14","2","(x1)","2,345,290","64,549,203"
"Ninho - Un Poco","115","8","7","","1,189,719","64,219,177"
"Djadja & Dinaz - Dans le Réseau","124","","16","","1,086,290","64,091,037"
"The Kid LAROI - Stay","73","13","3","(x3)","2,097,551","63,563,237"
"Lola Young - Messy","65","1","9","","1,672,706","63,409,780"
"SANTA - Popcorn Salé","88","","11","","1,471,156","63,118,499"
"SAINt JHN - Roses - Imanbek Remix","93","11","3","(x2)","1,459,883","62,533,189"
"Lil Nas X - MONTERO (Call Me By Your Name)","63","20","1","(x3)","2,712,693","62,366,621"
